mouse,geno,cond,dur_s,start_s,src_file
mouse?,GENO?,unknown,146,6477,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,50,6477,20251012_baseline_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,158,6531,20251024_drugs_mouse11_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,60,6548,20251011_baseline_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,127,6602,20251023_drugs_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,33,6634,20251013_ambtemp_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,46,6678,20251012_ambtemp_mouse8_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,126,6725,20251022_drugs_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,22,6787,20251003_ambtemp_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,113,6814,20251007_baseline_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,226,6823,20251001_baseline_mouse1_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,118,6896,20251025_ambtemp_mouse12_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,34,6906,20251013_baseline_mouse11_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,29,6928,20251008_ambtemp_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,36,6939,20251024_drugs_mouse10_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,40,6998,20251013_ambtemp_mouse2_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,136,7102,20251011_baseline_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,127,7123,20251022_drugs_mouse4_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,61,7268,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv
mouse?,GENO?,unknown,121,7313,20251009_ambtemp_mouse3_APP_scored_scores_1Hz.csv
mouse?,GENO?,unknown,78,7399,20251008_ambtemp_mouse10_APP_scored_scores_1Hz.csv
