hour_idx,hour_start_s,dur_s,bouts_per_h,mean_bout_dur_s,state,file,date,condition,mouse,genotype
0,0,1067,8,NaN,WK,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
1,3600,1069,4,NaN,WK,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
2,7200,703,9,NaN,WK,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
3,10800,1720,6,NaN,WK,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
4,14400,314,7,NaN,WK,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
5,18000,927,5,NaN,WK,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
6,21600,603,3,NaN,WK,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
7,25200,1384,9,NaN,WK,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
8,28800,2315,5,NaN,WK,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
0,0,2155,40,NaN,NREM,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
1,3600,1878,40,NaN,NREM,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
2,7200,2291,41,NaN,NREM,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
3,10800,1523,32,NaN,NREM,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
4,14400,2395,37,NaN,NREM,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
5,18000,1972,31,NaN,NREM,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
6,21600,2208,46,NaN,NREM,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
7,25200,1660,32,NaN,NREM,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
8,28800,691,19,NaN,NREM,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
0,0,221,3,NaN,REM,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
1,3600,456,4,NaN,REM,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
2,7200,437,6,NaN,REM,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
3,10800,211,4,NaN,REM,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
4,14400,736,6,NaN,REM,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
5,18000,537,6,NaN,REM,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
6,21600,549,3,NaN,REM,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
7,25200,458,5,NaN,REM,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
8,28800,114,2,NaN,REM,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
0,0,157,32,NaN,MA,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
1,3600,197,36,NaN,MA,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
2,7200,169,32,NaN,MA,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
3,10800,146,26,NaN,MA,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
4,14400,155,30,NaN,MA,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
5,18000,164,26,NaN,MA,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
6,21600,240,43,NaN,MA,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
7,25200,98,23,NaN,MA,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
8,28800,39,15,NaN,MA,20251006_baseline_mouse4_WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
0,0,1530,7,NaN,WK,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
1,3600,1116,7,NaN,WK,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
2,7200,1008,5,NaN,WK,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
3,10800,1799,7,NaN,WK,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
4,14400,465,8,NaN,WK,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
5,18000,1496,9,NaN,WK,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
6,21600,993,4,NaN,WK,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
7,25200,875,5,NaN,WK,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
8,28800,615,5,NaN,WK,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
0,0,1231,32,NaN,NREM,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
1,3600,1850,32,NaN,NREM,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
2,7200,1933,28,NaN,NREM,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
3,10800,1515,22,NaN,NREM,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
4,14400,2220,41,NaN,NREM,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
5,18000,1673,32,NaN,NREM,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
6,21600,1698,44,NaN,NREM,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
7,25200,1737,33,NaN,NREM,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
8,28800,1076,23,NaN,NREM,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
0,0,722,9,NaN,REM,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
1,3600,467,3,NaN,REM,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
2,7200,486,4,NaN,REM,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
3,10800,195,2,NaN,REM,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
4,14400,758,6,NaN,REM,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
5,18000,311,4,NaN,REM,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
6,21600,696,6,NaN,REM,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
7,25200,805,6,NaN,REM,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
8,28800,407,2,NaN,REM,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
0,0,117,25,NaN,MA,20251007_ambtemp_mouse4_WT_scored_scores_1Hz.csv,20251007,ambtemp,mouse4,WT
