hour_idx,hour_start_s,dur_s,bouts_per_h,mean_bout_dur_s,state,file,date,condition,mouse,genotype
7,25200,1528,9,NaN,WK,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
8,28800,2772,3,NaN,WK,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
0,0,1786,3,NaN,NREM,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
1,3600,2334,16,NaN,NREM,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
2,7200,2628,15,NaN,NREM,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
3,10800,1433,18,NaN,NREM,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
4,14400,2840,14,NaN,NREM,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
5,18000,2058,15,NaN,NREM,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
6,21600,2328,13,NaN,NREM,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
7,25200,1736,12,NaN,NREM,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
8,28800,387,2,NaN,NREM,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
0,0,0,0,NaN,REM,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
1,3600,120,3,NaN,REM,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
2,7200,157,2,NaN,REM,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
3,10800,32,1,NaN,REM,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
4,14400,278,3,NaN,REM,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
5,18000,314,5,NaN,REM,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
6,21600,325,3,NaN,REM,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
7,25200,297,3,NaN,REM,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
8,28800,0,0,NaN,REM,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
0,0,0,0,NaN,MA,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
1,3600,77,12,NaN,MA,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
2,7200,43,3,NaN,MA,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
3,10800,135,11,NaN,MA,20251006-baseline-mouse4-WT_scored_scores_1Hz.csv,20251006,baseline,mouse4,WT
