MouseID,Genotype,Condition,State,Band,Power_dB
mouse2,WT,drugs,NREM,Beta,-94.2744117184063
mouse2,WT,drugs,NREM,lGamma1,-98.5093391562262
mouse2,WT,drugs,NREM,lGamma2,-104.555801936339
mouse2,WT,drugs,NREM,hGamma,-100.307543061124
mouse2,WT,drugs,REM,Delta,-88.0122714180527
mouse2,WT,drugs,REM,Theta,-90.9196385307054
mouse2,WT,drugs,REM,Sigma,-95.2115463527361
mouse2,WT,drugs,REM,Beta,-94.4901750376579
mouse2,WT,drugs,REM,lGamma1,-98.5170252545991
mouse2,WT,drugs,REM,lGamma2,-104.565248912414
mouse2,WT,drugs,REM,hGamma,-100.461166077422
mouse4,WT,drugs,Wake,Delta,-88.8041135527313
mouse4,WT,drugs,Wake,Theta,-90.716456301289
mouse4,WT,drugs,Wake,Sigma,-95.1636623042165
mouse4,WT,drugs,Wake,Beta,-94.4762753050851
mouse4,WT,drugs,Wake,lGamma1,-97.487722952866
mouse4,WT,drugs,Wake,lGamma2,-103.10699826316
mouse4,WT,drugs,Wake,hGamma,-98.7231625612388
mouse4,WT,drugs,NREM,Delta,-87.7444230145957
mouse4,WT,drugs,NREM,Theta,-90.282726960794
mouse4,WT,drugs,NREM,Sigma,-93.6097370293083
mouse4,WT,drugs,NREM,Beta,-93.5221462336607
mouse4,WT,drugs,NREM,lGamma1,-98.6289005702865
mouse4,WT,drugs,NREM,lGamma2,-104.918194495264
mouse4,WT,drugs,NREM,hGamma,-101.027560387196
mouse4,WT,drugs,REM,Delta,-92.0657671917065
mouse4,WT,drugs,REM,Theta,-87.4839818212225
mouse4,WT,drugs,REM,Sigma,-95.0122204297807
mouse4,WT,drugs,REM,Beta,-93.8373983850196
mouse4,WT,drugs,REM,lGamma1,-97.9646531900247
mouse4,WT,drugs,REM,lGamma2,-103.24234115212
mouse4,WT,drugs,REM,hGamma,-99.3913647620445
mouse3,APP,drugs,Wake,Delta,-85.1121590439388
mouse3,APP,drugs,Wake,Theta,-91.5405135174835
mouse3,APP,drugs,Wake,Sigma,-94.703450362029
mouse3,APP,drugs,Wake,Beta,-92.8937860902073
mouse3,APP,drugs,Wake,lGamma1,-93.9452821291571
mouse3,APP,drugs,Wake,lGamma2,-98.0620855598032
mouse3,APP,drugs,Wake,hGamma,-95.2777596092633
mouse3,APP,drugs,NREM,Delta,-88.1551035548556
mouse3,APP,drugs,NREM,Theta,-90.0575645036881
mouse3,APP,drugs,NREM,Sigma,-92.2372415414868
